,date_begin,date_end,n_results,pmids,exclusion_threshold
20,2022/03/27,2022/04/02,71,"35363886, 35363658, 35362282, 35362208, 35361995, 35361619, 35361584, 35361503, 35361211, 35360810, 35360007, 35359861, 35358983, 35358319, 35358312, 35357961, 35356830, 35356646, 35355914, 35354292, 35354290, 35353894, 35353042, 35352703, 35352594, 35351798, 35351797, 35351709, 35351354, 35351326, 35351121, 35351117, 35350470, 35350162, 35350161, 35349576, 35349127, 35349045, 35348582, 35347946, 35346606, 35346393, 35346380, 35346050, 35345265, 35344192, 35343287, 35343261, 35342909, 35342831, 35342646, 35341711, 35339394, 35339393, 35338069, 35337757, 35337661, 35337429, 35337428, 35337425, 35335968, 35335106, 35335072, 35335066, 35334983, 35334884, 35334614, 35334609, 35334585, 35334546, 35016215",
21,2022/04/03,2022/04/09,90,"35395672, 35395002, 35393294, 35393248, 35392907, 35392902, 35392901, 35392695, 35392558, 35392393, 35391834, 35390120, 35390112, 35389359, 35387829, 35387816, 35387806, 35387691, 35387676, 35387515, 35387511, 35387504, 35387377, 35387376, 35387375, 35387374, 35387370, 35387369, 35387365, 35387329, 35385110, 35384685, 35384106, 35382984, 35382881, 35382725, 35382638, 35381078, 35380395, 35380394, 35380393, 35379651, 35379573, 35379560, 35379559, 35379307, 35379143, 35379116, 35379112, 35379107, 35379106, 35379101, 35379100, 35379090, 35379085, 35379027, 35378673, 35378077, 35377247, 35373719, 35373631, 35373251, 35373075, 35372184, 35370698, 35370483, 35370197, 35370190, 35370188, 35370187, 35370185, 35370184, 35369889, 35369578, 35369396, 35368557, 35368054, 35367998, 35367164, 35367143, 35366905, 35366769, 35365533, 35365488, 35365487, 35365486, 35365406, 35365405, 35365212, 35364752",
22,2022/04/10,2022/04/16,66,"35427944, 35427359, 35426008, 35422698, 35422008, 35421057, 35420749, 35419370, 35419335, 35418756, 35418739, 35418403, 35418325, 35418269, 35418072, 35418048, 35418019, 35417791, 35417771, 35417659, 35416984, 35416833, 35414586, 35414562, 35414550, 35414485, 35414327, 35413920, 35413836, 35413010, 35413007, 35412866, 35411372, 35411270, 35411192, 35410988, 35410875, 35410850, 35410312, 35410242, 35409914, 35409584, 35407628, 35405078, 35404549, 35404138, 35403665, 35403548, 35403383, 35402654, 35402313, 35402300, 35401242, 35401235, 35401200, 35400748, 35400614, 35398722, 35398004, 35397932, 35397543, 35397527, 35397487, 35396281, 35396214, 34783956",
23,2022/04/17,2022/04/23,54,"35451671, 35451011, 35450833, 35450832, 35450560, 35450559, 35450558, 35450556, 35449711, 35449352, 35449351, 35449350, 35448705, 35448704, 35448703, 35448700, 35446953, 35445311, 35444395, 35444126, 35443829, 35443678, 35443215, 35443037, 35442799, 35442772, 35442491, 35442480, 35442213, 35442212, 35440926, 35440429, 35440225, 35440223, 35439812, 35439284, 35438472, 35436957, 35436946, 35436887, 35435960, 35435816, 35434296, 35434000, 35433900, 35433590, 35431705, 35431591, 35431000, 35428696, 35428579, 35428578, 35428282, 35314445",
24,2022/04/24,2022/04/30,185,"35488266, 35487878, 35487821, 35487683, 35486950, 35486586, 35485261, 35484871, 35484869, 35484867, 35484711, 35483826, 35483822, 35483821, 35483820, 35483819, 35483818, 35483817, 35483816, 35483815, 35483814, 35483813, 35483812, 35483810, 35483809, 35483808, 35483807, 35483806, 35483805, 35483803, 35483415, 35483398, 35483212, 35482989, 35481962, 35481428, 35481132, 35481131, 35481130, 35481129, 35481128, 35481127, 35481126, 35481125, 35481124, 35481123, 35481122, 35481121, 35481120, 35481116, 35481115, 35481113, 35481112, 35481111, 35480619, 35480618, 35480617, 35480616, 35480615, 35480613, 35480612, 35480611, 35480609, 35480604, 35480602, 35480600, 35480597, 35480075, 35479849, 35479848, 35479847, 35479846, 35479845, 35479843, 35479842, 35479841, 35479840, 35479839, 35479837, 35479506, 35479505, 35479504, 35479501, 35478530, 35478529, 35478528, 35478527, 35478526, 35478525, 35478524, 35478523, 35478522, 35478521, 35478520, 35478518, 35478517, 35478515, 35478512, 35478511, 35478509, 35478508, 35478507, 35478504, 35478502, 35478500, 35477626, 35477589, 35477358, 35476969, 35476885, 35476882, 35476628, 35475978, 35475401, 35475369, 35475229, 35474652, 35474651, 35474650, 35474647, 35474645, 35474644, 35474643, 35474642, 35474155, 35473928, 35472247, 35472143, 35471247, 35471065, 35470747, 35470174, 35470173, 35470172, 35470170, 35470169, 35470168, 35469773, 35469494, 35469451, 35469338, 35469305, 35469121, 35469029, 35468186, 35466999, 35466997, 35466992, 35466767, 35466351, 35466072, 35466066, 35465767, 35465688, 35465635, 35464784, 35464639, 35464638, 35464499, 35464254, 35462836, 35462033, 35461778, 35461289, 35461147, 35460410, 35459699, 35459698, 35459437, 35459405, 35458207, 35457700, 35457620, 35457564, 35456524, 35456163, 35455928, 35455900, 35455892, 35455859, 35455829, 35455796, 35455694, 35455523, 35453723",
25,2022/05/01,2022/05/07,88,"35523691, 35523598, 35523537, 35523432, 35523113, 35522700, 35522626, 35522564, 35522029, 35521027, 35521024, 35521022, 35521019, 35521013, 35521012, 35521010, 35521009, 35521004, 35521003, 35521002, 35520965, 35519087, 35519086, 35519085, 35519084, 35519082, 35519081, 35519080, 35519079, 35517043, 35514300, 35513384, 35512276, 35511925, 35511828, 35511822, 35511459, 35511222, 35510364, 35509509, 35509385, 35509353, 35509234, 35508374, 35508009, 35507636, 35507635, 35507568, 35506711, 35505618, 35505602, 35505447, 35503938, 35503234, 35502998, 35502826, 35502518, 35502433, 35501712, 35501699, 35501544, 35501229, 35500922, 35499684, 35499399, 35498228, 35497907, 35497904, 35497902, 35497900, 35497899, 35497897, 35497896, 35497895, 35497894, 35497893, 35497892, 35496350, 35496268, 35495384, 35495074, 35493115, 35491381, 35490592, 35490096, 35490092, 35490088, 35488847",
26,2022/05/08,2022/05/14,73,"35562697, 35561484, 35561289, 35561252, 35560901, 35558353, 35558350, 35558342, 35556187, 35555922, 35553949, 35553130, 35552598, 35552542, 35552253, 35552205, 35551556, 35550731, 35550730, 35550478, 35550379, 35550348, 35550347, 35550329, 35549672, 35549531, 35548351, 35546745, 35546465, 35546411, 35544740, 35541695, 35541501, 35538566, 35538500, 35538396, 35537904, 35537793, 35537742, 35537741, 35537001, 35536856, 35536741, 35536578, 35536577, 35535859, 35533298, 35532973, 35532708, 35532379, 35532337, 35532336, 35532327, 35532111, 35531595, 35530259, 35529886, 35528856, 35528851, 35528849, 35528291, 35528114, 35527831, 35527829, 35527828, 35527824, 35527209, 35526877, 35526467, 35526277, 35526276, 35525834, 35256285",
27,2022/05/15,2022/05/21,67,"35593800, 35593786, 35596014, 35595641, 35595640, 35595639, 35594507, 35593129, 35593116, 35592795, 35592446, 35589543, 35589531, 35589145, 35588562, 35587790, 35587207, 35586760, 35585504, 35583869, 35583499, 35583116, 35582322, 35582321, 35582320, 35582319, 35581524, 35581455, 35581128, 35581127, 35581126, 35581104, 35579964, 35579209, 35578243, 35578234, 35577729, 35577728, 35577465, 35577424, 35577387, 35577148, 35576337, 35575956, 35575570, 35575567, 35574961, 35573572, 35573485, 35572779, 35572212, 35572210, 35571349, 35571348, 35571344, 35571343, 35570966, 35570128, 35570119, 35568892, 35568834, 35568481, 35568479, 35568474, 35568248, 35566101, 35564673",
28,2022/05/22,2022/05/28,90,"35623753, 35623024, 35621721, 35619839, 35619821, 35618648, 35617608, 35617266, 35616400, 35616305, 35615979, 35615884, 35615834, 35615491, 35615490, 35615487, 35615485, 35615482, 35615407, 35615296, 35614463, 35613403, 35613115, 35613106, 35612080, 35610968, 35610770, 35610769, 35610766, 35610727, 35610074, 35609353, 35609230, 35609161, 35609061, 35609002, 35608887, 35608745, 35607362, 35607292, 35606834, 35606308, 35605530, 35605217, 35605142, 35603759, 35603545, 35603500, 35603459, 35603255, 35603251, 35601800, 35601727, 35601726, 35601725, 35601723, 35601721, 35601717, 35601713, 35601711, 35601594, 35601593, 35601592, 35601591, 35601588, 35601585, 35601584, 35601581, 35601580, 35601578, 35601577, 35601575, 35601574, 35601573, 35601001, 35600283, 35600280, 35600277, 35600276, 35599318, 35599203, 35599169, 35598191, 35598141, 35598014, 35597617, 35596269, 35596266, 35596242, 35489411",
29,2022/05/29,2022/06/04,73,"35653185, 35652528, 35652522, 35652493, 35651306, 35650614, 35650086, 35650078, 35650077, 35650076, 35650075, 35650074, 35650073, 35648666, 35647820, 35647238, 35646788, 35646383, 35645334, 35645333, 35645332, 35645330, 35645328, 35645318, 35645306, 35644293, 35644154, 35643747, 35643625, 35642282, 35642275, 35642271, 35642053, 35642033, 35640785, 35640562, 35640494, 35640360, 35640122, 35639813, 35639757, 35638403, 35637720, 35637711, 35637583, 35637153, 35637152, 35637092, 35635268, 35634903, 35634531, 35633995, 35633757, 35632513, 35631618, 35629140, 35628067, 35628044, 35627943, 35627925, 35627724, 35627707, 35627589, 35627513, 35626136, 35625335, 35625305, 35625255, 35624884, 35624509, 35624492, 35624037, 35623966",
