,date_end,computed_threshold,thresholds,precisions,recalls,f1s,accuracies,exclusion_ratios,n_incorrectly_excluded
10,2023/01/07,0.0003544761450029,"0.0003528337983880192, 0.0005489314207807183, 0.0002392188471276313, 0.00023925714776851237, 0.0003921395109500736","0.20630372492836677, 0.23636363636363636, 0.1907356948228883, 0.10518053375196232, 0.1802030456852792","1.0, 1.0, 1.0, 1.0, 1.0","0.342042755344418, 0.3823529411764706, 0.32036613272311215, 0.1903409090909091, 0.3053763440860215","0.7150205761316872, 0.8269824922760041, 0.694129763130793, 0.4129763130792997, 0.6673532440782698","0.6409465020576132, 0.7734294541709578, 0.6220391349124614, 0.34397528321318227, 0.5942327497425335","0, 0, 0, 0, 0"
11,2023/01/14,0.0003069787853746,"0.00010822909098351374, 0.0002083229919662699, 0.00042112061055377126, 0.00034361498546786606, 0.0004536062479019165","0.12386156648451731, 0.15098039215686274, 0.2247557003257329, 0.2838983050847458, 0.42657342657342656","1.0, 1.0, 1.0, 1.0, 1.0","0.22042139384116693, 0.262350936967632, 0.3670212765957446, 0.4422442244224423, 0.5980392156862745","0.5121703853955375, 0.5608519269776876, 0.7586206896551724, 0.8286004056795132, 0.9168356997971603","0.4432048681541582, 0.4827586206896552, 0.6886409736308317, 0.7606490872210954, 0.8549695740365112","0, 0, 0, 0, 0"
12,2023/01/21,0.0001870106119895,"0.00014568452024832368, 0.00029569314210675657, 0.00015958337462507188, 0.00014104385627433658, 0.00019304816669318825","0.1696035242290749, 0.3531746031746032, 0.1222707423580786, 0.06964520367936924, 0.16289592760180996","1.0, 1.0, 1.0, 1.0, 1.0","0.2900188323917137, 0.5219941348973607, 0.21789883268482488, 0.1302211302211302, 0.2801556420233463","0.623, 0.837, 0.598, 0.292, 0.6296296296296297","0.546, 0.748, 0.542, 0.239, 0.5575575575575575","0, 0, 0, 0, 0"
13,2023/01/28,0.000276839575963,"0.00017896889767143875, 0.0002710272092372179, 0.0003544549399521202, 0.00016982624947559088, 0.0004099205834791064","0.08133971291866028, 0.22185430463576158, 0.236, 0.15180265654648956, 0.33766233766233766","1.0, 1.0, 1.0, 1.0, 1.0","0.15044247787610618, 0.3631436314363144, 0.38187702265372164, 0.26359143327841844, 0.5048543689320388","0.2448377581120944, 0.7689282202556539, 0.8121927236971485, 0.5600393700787402, 0.8494094488188977","0.17797443461160276, 0.7030481809242871, 0.7541789577187807, 0.4812992125984252, 0.7726377952755905","0, 0, 0, 0, 0"
14,2023/02/04,0.0002082386607071,"0.00022438813175540417, 0.00023417510965373367, 0.00016430040705017745, 0.0002482535201124847, 0.0001700761349638924","0.0855106888361045, 0.19461077844311378, 0.1316793893129771, 0.26440677966101694, 0.16400911161731208","1.0, 1.0, 1.0, 1.0, 1.0","0.15754923413566738, 0.32581453634085217, 0.2327150084317032, 0.41823056300268097, 0.28180039138943247","0.25387596899224807, 0.7393410852713178, 0.5591085271317829, 0.7897286821705426, 0.6443798449612403","0.18410852713178294, 0.6763565891472868, 0.49224806201550386, 0.7141472868217055, 0.5746124031007752","0, 0, 0, 0, 0"
15,2023/02/11,0.0002641118102474,"0.00018950282537844032, 0.00034167824196629226, 0.0002284004003740847, 0.00014554857625626028, 0.0004154290072619915","0.1377551020408163, 0.29130434782608694, 0.24262295081967214, 0.11187607573149742, 0.25752508361204013","1.0, 1.0, 1.0, 1.0, 1.0","0.24215246636771298, 0.4511784511784512, 0.39050131926121373, 0.20123839009287928, 0.40957446808510634","0.5162213740458015, 0.8444656488549618, 0.7795801526717557, 0.5076335877862596, 0.7881679389312977","0.4389312977099237, 0.7805343511450382, 0.708969465648855, 0.44561068702290074, 0.7146946564885496","0, 0, 0, 0, 0"
16,2023/02/18,0.0002468471822794,"0.0002060893311863765, 0.00021813888452015817, 0.00019351959053892642, 0.00012674089521169662, 0.0004897472099401057","0.1368421052631579, 0.1196319018404908, 0.185378590078329, 0.2054794520547945, 0.32547169811320753","1.0, 1.0, 1.0, 1.0, 1.0","0.24074074074074076, 0.2136986301369863, 0.3127753303964758, 0.3409090909090909, 0.49110320284697506","0.5388940955951266, 0.4620431115276476, 0.7073170731707317, 0.7279549718574109, 0.8658536585365854","0.46579194001874413, 0.3889409559512652, 0.6407129455909943, 0.6575984990619137, 0.801125703564728","0, 0, 0, 0, 0"
17,2023/02/25,0.0001707395145785,"0.00019922282081097364, 0.00014229636872187257, 0.00018906571494881064, 0.00021762990218121558, 0.00010548276623012498","0.14018691588785046, 0.18858560794044665, 0.2231404958677686, 0.23214285714285715, 0.09047619047619047","1.0, 1.0, 1.0, 1.0, 1.0","0.2459016393442623, 0.3173277661795407, 0.3648648648648649, 0.37681159420289856, 0.16593886462882096","0.576036866359447, 0.6986175115207374, 0.7400921658986175, 0.7223247232472325, 0.4714022140221402","0.5069124423963134, 0.6285714285714286, 0.6654377880184332, 0.6383763837638377, 0.4188191881918819","0, 0, 0, 0, 0"
18,2023/03/04,0.0002177729373215,"0.00022312620421871543, 0.0002148961357306689, 8.718907338334247e-05, 0.0002900933614000678, 0.00027355991187505424","0.15502183406113537, 0.2517985611510791, 0.0780209324452902, 0.17987152034261242, 0.21188630490956073","1.0, 1.0, 1.0, 1.0, 1.0","0.2684310018903592, 0.40229885057471265, 0.14474845542806705, 0.30490018148820325, 0.34968017057569295","0.6494565217391305, 0.8115942028985508, 0.1214868540344515, 0.6527651858567544, 0.7234814143245694","0.5851449275362319, 0.7481884057971014, 0.0471441523118767, 0.5766092475067996, 0.6491387126019945","0, 0, 0, 0, 0"
19,2023/03/11,0.0001680916102486,"0.0001534185284981504, 0.00017055682837963104, 0.00010217935050604865, 0.00019761265139095485, 0.00021669069246854633","0.12832550860719874, 0.11467889908256881, 0.08296460176991151, 0.2918287937743191, 0.1650853889943074","1.0, 1.0, 1.0, 1.0, 1.0","0.22746185852981968, 0.205761316872428, 0.15321756894790603, 0.45180722891566266, 0.28338762214983715","0.5026785714285714, 0.4830357142857143, 0.25915996425379806, 0.837354781054513, 0.6067917783735478","0.4294642857142857, 0.4160714285714286, 0.19213583556747096, 0.7703306523681859, 0.5290437890974083","0, 0, 0, 0, 0"
